| 2020:06:24 22:01:43,292 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:01:43,325 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:01:43,368 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:01:43,388 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 22:02:01,831 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:02:01,835 | I | root | lib/xen_protocol.py +54 require_auth Authorization	5d232de88d26f4bb9e11367b
| 2020:06:24 22:02:01,837 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:02:01,842 | I | root | lib/xen_protocol.py +71 require_auth x-Origin-Key	5e551060234c5ff26752bd45
| 2020:06:24 22:02:01,843 | I | root | lib/xen_protocol.py +86 require_auth x-Api-Key	5e58fd693bf1f7d832254c76
| 2020:06:24 22:02:01,860 | I | root | med/medservicelist.py +308 post PID	5e59000d0084789922277bde
| 2020:06:24 22:02:01,869 | I | root | med/medservicelist.py +325 post 502022.0	
| 2020:06:24 22:02:01,872 | W | root | med/medservicelist.py +427 post EXC	Exception: NameError. Argument: ("name 'unicode' is not defined",)
| 2020:06:24 22:02:01,877 | D | root | med/medservicelist.py +431 post EX2	FILE: /home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py LINE: 332 TYPE: <class 'NameError'>
| 2020:06:24 22:02:01,878 | D | root | med/medservicelist.py +437 post RSP	{'code': 5010, 'status': False, 'message': 'Internal Error Please Contact the Support Team.'}
| 2020:06:24 22:02:01,879 | I | tornado.access | 200 POST /v2/web/api/med/servicelist (::1) 53.69ms
| 2020:06:24 22:03:48,394 | I | tornado.general | /home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py modified; restarting server
| 2020:06:24 22:03:48,478 | I | root | ------
| 2020:06:24 22:03:48,504 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:03:48,917 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:03:48,980 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:03:49,013 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:03:49,039 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:03:49,055 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 22:03:51,878 | I | root | ------
| 2020:06:24 22:03:51,908 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:03:52,340 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:03:52,416 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:03:52,442 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:03:52,468 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:03:52,486 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 22:03:57,773 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:03:57,775 | I | root | lib/xen_protocol.py +54 require_auth Authorization	5d232de88d26f4bb9e11367b
| 2020:06:24 22:03:57,777 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:03:57,779 | I | root | lib/xen_protocol.py +71 require_auth x-Origin-Key	5e551060234c5ff26752bd45
| 2020:06:24 22:03:57,780 | I | root | lib/xen_protocol.py +86 require_auth x-Api-Key	5e58fd693bf1f7d832254c76
| 2020:06:24 22:03:57,790 | I | root | med/medservicelist.py +308 post PID	5e59000d0084789922277bde
| 2020:06:24 22:03:57,794 | I | root | med/medservicelist.py +325 post 502022.0	
| 2020:06:24 22:03:57,804 | D | root | med/medservicelist.py +436 post RSP	{'code': 2000, 'status': True, 'message': 'Service has been added'}
| 2020:06:24 22:03:57,807 | I | tornado.access | 200 POST /v2/web/api/med/servicelist (::1) 41.94ms
| 2020:06:24 22:04:05,031 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:04:05,033 | I | root | lib/xen_protocol.py +54 require_auth Authorization	5d232de88d26f4bb9e11367b
| 2020:06:24 22:04:05,035 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:04:05,037 | I | root | lib/xen_protocol.py +71 require_auth x-Origin-Key	5e551060234c5ff26752bd45
| 2020:06:24 22:04:05,039 | I | root | lib/xen_protocol.py +86 require_auth x-Api-Key	5e58fd693bf1f7d832254c76
| 2020:06:24 22:04:05,041 | I | root | med/medservicelist.py +125 get PID	5e59000d0084789922277bde
| 2020:06:24 22:04:05,043 | I | root | med/medservicelist.py +142 get 502022.0	
| 2020:06:24 22:04:05,047 | D | root | med/medservicelist.py +247 get RSP	{'code': 2000, 'status': True, 'message': 'List of services'}
| 2020:06:24 22:04:05,048 | I | tornado.access | 200 GET /v2/web/api/med/servicelist (::1) 19.49ms
| 2020:06:24 22:17:27,993 | I | tornado.general | /home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py modified; restarting server
| 2020:06:24 22:17:28,154 | I | root | ------
| 2020:06:24 22:17:28,216 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:17:28,754 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:17:28,829 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:17:28,870 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:17:28,906 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:17:28,909 | E | STDERR | Traceback (most recent call last):
| 2020:06:24 22:17:28,909 | E | STDERR |   File "./run.py", line 4, in <module>
| 2020:06:24 22:17:28,910 | E | STDERR |     from common import *
| 2020:06:24 22:17:28,910 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/common.py", line 17, in <module>
| 2020:06:24 22:17:28,910 | E | STDERR |     from .med.medservicelist import MedServiceListHandler
| 2020:06:24 22:17:28,910 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py", line 674
| 2020:06:24 22:17:28,910 | E | STDERR |     async def delete(self):
| 2020:06:24 22:17:28,910 | E | STDERR |     ^
| 2020:06:24 22:17:28,910 | E | STDERR | IndentationError: unexpected indent
| 2020:06:24 22:21:41,195 | I | root | ------
| 2020:06:24 22:21:41,221 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:21:41,643 | D | asyncio | Using selector: EpollSelector
